evaluation,generation,hypervolume
0,0,0.253970275206
1,0,0.291739357847
3,0,0.296752714846
4,0,0.302020284206
5,0,0.302293003185
11,0,0.302293986738
12,0,0.315266323308
14,0,0.317263623326
30,0,0.317268973655
34,0,0.317945671325
53,0,0.331374859498
54,0,0.331374899841
55,0,0.331452717157
57,0,0.340816583684
66,1,0.340916985871
68,1,0.34100611765
76,2,0.3410372075
82,3,0.341085656184
123,7,0.341091372363
124,7,0.34113967562
152,10,0.341344203187
160,11,0.341948161155
164,11,0.342009072007
191,14,0.342024035197
199,14,0.342215720776
286,23,0.342260459078
318,26,0.342262169989
341,29,0.342272681952
367,31,0.34243946756
395,34,0.342440185082
462,41,0.342477795578
465,41,0.342488574262
500,45,0.342581014963
538,48,0.342596513188
552,50,0.342600556697
579,52,0.342686808183
594,54,0.342689504895
605,55,0.342689911871
627,57,0.342767440297
658,60,0.342868303485
754,70,0.342870397213
884,83,0.344754215724
924,87,0.344754284365
941,89,0.344780313957
980,93,0.344820815888
1030,98,0.344911202855
1152,110,0.344966337918
1254,120,0.344986107229
1288,123,0.345021813639
1557,150,0.345255171732
1717,166,0.345277368279
1764,171,0.345303638363
1850,180,0.345379552031
1874,182,0.345411113363
1912,186,0.345882698603
1946,189,0.345972964229
2056,200,0.346010083208
2198,214,0.346063562471
2211,216,0.34661379314
2397,234,0.346614474518
2425,237,0.350532763137
2534,248,0.350544583251
2573,252,0.350554382916
3130,308,0.351215941076
3836,378,0.351227726096
4170,412,0.351238895232
5137,508,0.351290799102
5301,525,0.351405683808
5698,564,0.351572951436
5876,582,0.351577612242
6245,619,0.351590334801
6501,645,0.351592482523
7130,708,0.351637791868
7789,773,0.351755079075
8087,803,0.351757022301
8122,807,0.352122399774
9618,956,0.352126603401
10552,1050,0.35212741049
10891,1084,0.352131410557
11395,1134,0.354017347444
11479,1142,0.3540189924
12257,1220,0.354030681027
12351,1230,0.354038715801
14655,1460,0.354149661948
15939,1588,0.35415400607
16389,1633,0.354165321819
16658,1660,0.357175908725
19242,1919,0.357198644457
21240,2119,0.35721506821
22420,2237,0.357356860201
22602,2255,0.357395179445
22937,2288,0.357399059393
24556,2450,0.35882262887
24573,2452,0.359983527173
26263,2621,0.360040281041
27363,2731,0.360052327322
27478,2742,0.360058043541
28098,2804,0.360264320762
28319,2826,0.36449440493
29821,2977,0.364560142909
30026,2997,0.364566816275
37366,3731,0.365431474411
38112,3806,0.36543268548
38251,3820,0.365432692492
38273,3822,0.369838145501
39573,3952,0.371073032469
40388,4033,0.371073573093
41250,4120,0.371076284346
43137,4308,0.37347701123
44703,4465,0.37347934741
45149,4509,0.373524934328
45337,4528,0.373569448024
45919,4586,0.37359844149
46759,4670,0.373689735237
48471,4842,0.373691118085
53965,5391,0.373691295055
80816,8076,0.37369842724
82158,8210,0.374424803074
83143,8309,0.374443420022
87096,8704,0.374510307859
90212,9016,0.374532012498
93288,9323,0.374550322788
96418,9636,0.374684091757
100000,9995,0.374684091757
