evaluation,generation,hypervolume
0,0,0.112261816019
1,0,0.13838434424
3,0,0.1447207202
5,0,0.144786637245
6,0,0.144831048364
9,0,0.14738073695
12,0,0.149811327124
14,0,0.149854759942
15,0,0.149937496608
23,0,0.15002010588
24,0,0.150027018069
25,0,0.153010657311
28,0,0.15302625851
30,0,0.153027760413
34,0,0.153387767356
37,0,0.153597703582
38,0,0.153675340089
43,0,0.154458724694
45,0,0.156061411143
49,0,0.156088902147
50,0,0.156243517112
58,0,0.156510653275
60,1,0.158484282949
70,2,0.158529977697
71,2,0.158531766585
75,2,0.158531769305
79,2,0.159928064877
80,3,0.163774769783
81,3,0.163775980575
82,3,0.16417977847
87,3,0.164222145227
90,4,0.164222205227
94,4,0.164253117278
95,4,0.164254729102
98,4,0.164319099255
99,4,0.164319182689
102,5,0.16434632633
104,5,0.164347774284
109,5,0.164349047139
111,6,0.164350690841
112,6,0.164350691101
114,6,0.164351814045
121,7,0.164445486411
127,7,0.164445530467
129,7,0.164446460415
133,8,0.16445321447
139,8,0.16445358286
144,9,0.164514385676
148,9,0.164649531435
153,10,0.164661556386
155,10,0.164899117001
156,10,0.164899214741
166,11,0.164902096175
171,12,0.16490212072
174,12,0.167451393042
184,13,0.167451495025
189,13,0.167489687919
194,14,0.169417781555
196,14,0.169425723346
201,15,0.16952859691
209,15,0.169529445543
213,16,0.169529615506
215,16,0.169538286609
220,17,0.169542316291
233,18,0.169543109279
237,18,0.169543109584
238,18,0.16954313106
242,19,0.169543222769
243,19,0.169552604944
249,19,0.169553922293
252,20,0.169554103941
253,20,0.169624972298
254,20,0.169742974858
256,20,0.169811272895
257,20,0.169830616934
258,20,0.169909230083
260,21,0.169909795006
267,21,0.16991227879
269,21,0.169912649273
281,23,0.169999542025
283,23,0.170031953002
284,23,0.170088007959
286,23,0.170090025973
299,24,0.170094642433
300,25,0.170636797654
301,25,0.170636812901
305,25,0.170646893105
308,25,0.170648436283
313,26,0.170650100965
335,28,0.17129094202
339,28,0.171291302765
343,29,0.171291336676
344,29,0.171304540869
349,29,0.171304547032
351,30,0.171304625658
353,30,0.171306129106
354,30,0.171306287712
360,31,0.171306323215
363,31,0.171308526174
369,31,0.171342200204
374,32,0.171342275916
380,33,0.17134965768
384,33,0.171357681325
392,34,0.171357712922
393,34,0.171365407322
414,36,0.171365740488
427,37,0.171368709178
447,39,0.171369459467
454,40,0.171386354989
461,41,0.171386446005
464,41,0.173581699962
480,43,0.173636823598
482,43,0.173678166823
484,43,0.173679444638
487,43,0.173689816813
493,44,0.173987320212
506,45,0.174110329347
508,45,0.174112805281
532,48,0.174116009268
533,48,0.174119280142
542,49,0.174119509007
543,49,0.174130493521
550,50,0.174135252465
556,50,0.174136114231
563,51,0.174161292915
564,51,0.174194903961
571,52,0.1743659713
600,55,0.174366014918
605,55,0.174366290783
606,55,0.174374233583
613,56,0.174389340888
620,57,0.174416450628
634,58,0.174474554699
641,59,0.174474603034
662,61,0.174474865764
663,61,0.174474891093
682,63,0.174475009583
706,65,0.174476235071
709,65,0.174476290143
711,66,0.174478962157
726,67,0.174479960173
734,68,0.17448014006
743,69,0.17450030314
759,70,0.174505168207
763,71,0.174505418892
772,72,0.174511426802
779,72,0.174511465924
804,75,0.174513780424
825,77,0.174514498457
850,80,0.174514844636
856,80,0.174514884809
891,84,0.174515331759
892,84,0.174515387477
893,84,0.174537907848
898,84,0.174537915677
905,85,0.174551561183
916,86,0.174551756648
917,86,0.174611921225
919,86,0.174620826334
930,88,0.174620908077
973,92,0.174620938768
977,92,0.174620952884
993,94,0.174667246398
994,94,0.174667365412
996,94,0.174711422366
1005,95,0.17472007859
1014,96,0.174720079426
1017,96,0.175411646102
1067,101,0.175411690126
1074,102,0.175444386196
1084,103,0.175445594455
1087,103,0.175445701033
1097,104,0.175445734374
1127,107,0.175447552667
1132,108,0.175447595149
1135,108,0.175447658996
1136,108,0.176641413733
1217,116,0.176641414872
1242,119,0.176891429285
1243,119,0.178565713665
1257,120,0.178566069401
1259,120,0.178624326388
1260,121,0.178624469566
1287,123,0.17869390702
1294,124,0.178695934971
1307,125,0.178695951675
1338,128,0.178696003732
1347,129,0.178769630722
1395,134,0.178772217766
1423,137,0.178772240728
1424,137,0.178777576141
1428,137,0.178777577275
1443,139,0.178818488028
1446,139,0.178821669667
1452,140,0.17882174852
1455,140,0.178821949896
1458,140,0.178822011588
1459,140,0.178823165587
1465,141,0.18059332716
1494,144,0.18059342986
1502,145,0.180593435551
1518,146,0.180593479069
1548,149,0.180594416572
1557,150,0.18059604718
1575,152,0.180606156793
1590,154,0.180606181035
1627,157,0.180606268971
1637,158,0.180639515764
1683,163,0.180651705071
1704,165,0.180651706733
1731,168,0.180661055281
1744,169,0.180750493368
1763,171,0.180760704305
1785,173,0.180763096478
1802,175,0.180766468666
1812,176,0.180783850946
1827,177,0.180784299177
1848,179,0.183249755838
1858,180,0.183317097087
1899,184,0.183317257267
1903,185,0.183317640845
1966,191,0.18331794225
1969,191,0.183318045464
1981,193,0.183325771108
1990,194,0.183326078936
1996,194,0.183326102146
2002,195,0.18332981877
2043,199,0.18335748103
2064,201,0.183357760089
2079,202,0.183359191207
2097,204,0.183359261194
2118,206,0.183417680829
2194,214,0.183425958986
2235,218,0.183429186603
2293,224,0.183429294655
2295,224,0.18343153424
2325,227,0.183432223459
2383,233,0.18348961352
2386,233,0.183567387703
2396,234,0.183567391569
2404,235,0.18357039506
2426,237,0.183620271957
2437,238,0.18362124217
2438,238,0.183621268011
2449,239,0.183621406371
2453,240,0.183622108024
2462,241,0.183622609993
2501,245,0.183622613509
2539,248,0.183622908277
2584,253,0.183626005926
2608,255,0.183675441025
2612,256,0.183787092538
2653,260,0.183790641675
2654,260,0.183791090638
2656,260,0.183791500041
2689,263,0.183791509767
2726,267,0.183791515587
2761,271,0.18379166991
2793,274,0.18379289839
2872,282,0.183815660339
2880,283,0.183816153936
2954,290,0.183816506699
2971,292,0.183817158092
2988,293,0.183836245806
3038,298,0.183841113975
3050,300,0.183841296236
3073,302,0.183841314085
3098,304,0.183900128568
3117,306,0.183910697728
3124,307,0.183920244592
3149,309,0.183924434774
3172,312,0.183944605537
3176,312,0.183944844088
3183,313,0.183982075318
3185,313,0.183982213292
3232,318,0.18398227041
3237,318,0.183993475156
3267,321,0.183996551837
3302,325,0.183996570031
3358,330,0.184015779898
3370,332,0.184015834712
3399,334,0.184018224609
3402,335,0.184018585842
3404,335,0.184049286285
3487,343,0.184064690564
3535,348,0.184064691313
3548,349,0.184103663521
3552,350,0.184109282737
3608,355,0.184111074467
3667,361,0.184120113512
3672,362,0.184120594897
3674,362,0.184953078268
3678,362,0.185029340421
3710,366,0.185030332987
3724,367,0.185040882169
3789,373,0.185070370578
3797,374,0.185164357537
3841,379,0.185212777096
3853,380,0.185255603133
3862,381,0.185255679634
3893,384,0.185257473835
3971,392,0.185257474719
4029,397,0.185257886079
4104,405,0.185257920445
4112,406,0.185366452893
4211,416,0.185366480238
4386,433,0.185420582524
4400,435,0.185421140681
4434,438,0.185421144958
4452,440,0.185421154038
4457,440,0.185426611565
4487,443,0.185447675207
4520,447,0.18544773246
4617,456,0.185450517797
4624,457,0.188060461361
4659,460,0.188061396216
4667,461,0.188088462334
4724,467,0.188088463137
4730,468,0.188091088092
4772,472,0.188091136633
4837,478,0.188091856716
4840,479,0.188092043449
5006,495,0.188092080915
5017,496,0.188092116488
5037,498,0.188130464364
5214,516,0.188159850593
5229,517,0.188160118368
5243,519,0.188252045118
5257,520,0.18826178656
5272,522,0.188261793476
5273,522,0.188268990338
5298,524,0.188269049514
5317,526,0.188269195141
5411,536,0.188269199013
5414,536,0.188311658131
5430,538,0.188311666399
5646,559,0.188311815129
5898,584,0.188314379676
5901,585,0.188448745123
5914,586,0.188448759876
5924,587,0.188449239042
5952,590,0.18845194223
6037,598,0.188468219227
6059,600,0.188468371348
6060,601,0.18846842061
6113,606,0.188468474437
6134,608,0.188474372074
6144,609,0.188474701325
6204,615,0.18847512004
6267,621,0.188480330551
6291,624,0.188480605553
6369,631,0.188497968969
6392,634,0.188498057316
6431,638,0.188498262401
6547,649,0.188516763943
6760,671,0.188516849408
6822,677,0.188516905746
6883,683,0.188516906531
7042,699,0.190179361087
7048,699,0.190179544138
7109,705,0.190179566324
7130,708,0.190197374781
7174,712,0.190197411443
7230,718,0.190205692065
7314,726,0.190205823022
7330,728,0.190205922685
7348,729,0.190205962234
7406,735,0.190208620159
7524,747,0.190213077257
7581,753,0.190260568155
7608,755,0.190302495033
7733,768,0.190302717793
7790,774,0.190302724512
7891,784,0.191717661439
7916,786,0.191721022797
7921,787,0.191723583798
8002,795,0.191723872916
8012,796,0.191724150066
8122,807,0.191724160979
8142,809,0.191724166805
8225,817,0.191731858202
8399,834,0.19175902943
8422,837,0.19242764919
8490,844,0.192427723868
8518,846,0.192429545131
8541,849,0.192894323849
8647,859,0.192894347272
8659,860,0.192894392818
8698,864,0.192894393325
8752,870,0.192896068217
8780,873,0.192898867533
8781,873,0.192922803476
8788,873,0.192963735215
8807,875,0.19301833433
8816,876,0.193018341386
9065,901,0.193018715584
9116,906,0.193018814027
9228,917,0.193018831546
9237,918,0.193019170927
9290,924,0.193025059992
9308,925,0.193025066166
9431,938,0.19307268273
9472,942,0.193072684369
9487,943,0.193080249251
9496,944,0.193115406926
9499,944,0.193191909899
9694,964,0.193279621644
9768,971,0.193280002107
9806,975,0.193306198476
9883,983,0.193306465492
9985,993,0.193306478839
10010,996,0.193306590362
10032,998,0.193307886427
10094,1004,0.193308002032
10101,1005,0.193308024968
10382,1033,0.193308789633
10383,1033,0.193317624063
10395,1034,0.193323347438
10513,1046,0.193323432056
10527,1047,0.193324113344
10579,1052,0.193324468662
10621,1057,0.193324474098
10636,1058,0.193325090159
10646,1059,0.193325090442
10657,1060,0.193325151194
10677,1062,0.193325157212
10766,1071,0.193349863375
10787,1073,0.193349876135
10821,1077,0.193350525568
10847,1079,0.193350547927
10907,1085,0.193371496988
10916,1086,0.193373266947
10933,1088,0.193373940021
11029,1097,0.19341079833
11168,1111,0.193412493251
11255,1120,0.193413215751
11256,1120,0.193414451049
11271,1122,0.193414468076
11285,1123,0.193414757783
11334,1128,0.193414759471
11392,1134,0.193414761622
11408,1135,0.193415080218
11462,1141,0.193415361705
11621,1157,0.193438984393
11690,1164,0.193453950757
11716,1166,0.193454378471
11754,1170,0.193454497466
11795,1174,0.193455427368
11851,1180,0.193492631388
11957,1190,0.193492658009
12128,1207,0.193493922464
12231,1218,0.193502863313
12333,1228,0.193534815819
12457,1240,0.19353906609
12514,1246,0.193539091103
12539,1248,0.19353909165
12558,1250,0.193539161046
12560,1251,0.193562128323
12918,1286,0.193562248694
12932,1288,0.193562597387
13022,1297,0.193562617797
13093,1304,0.193562674516
13107,1305,0.193562683499
13170,1312,0.193562743605
13204,1315,0.19356298599
13375,1332,0.193616374363
13423,1337,0.193616450932
13438,1338,0.193616699097
13566,1351,0.19362079604
13609,1355,0.193621020937
13649,1359,0.193626021217
13676,1362,0.193627256958
13876,1382,0.193627672481
14105,1405,0.193663955747
14235,1418,0.19366417169
14244,1419,0.193666871954
14358,1430,0.193666902643
14382,1433,0.193666952199
14465,1441,0.193667041649
14615,1456,0.193669118342
14633,1458,0.193669266647
14639,1458,0.193669272357
14650,1460,0.193670418025
14720,1467,0.193670489046
14777,1472,0.193670563314
14830,1478,0.193670656391
14866,1481,0.193670776186
14895,1484,0.193672793639
14917,1486,0.193674225007
14920,1487,0.193674286794
14921,1487,0.193674306766
14925,1487,0.193674449405
15008,1495,0.193675801761
15374,1532,0.193679514949
15399,1534,0.193682572098
15481,1543,0.19368385707
15557,1550,0.193693736127
15683,1563,0.193694276757
15722,1567,0.193694772935
15759,1570,0.19370351103
15825,1577,0.193703530164
15833,1578,0.193703550924
15873,1582,0.193703653841
15927,1587,0.193703755773
15977,1592,0.193704003704
16028,1597,0.193704009972
16238,1618,0.193704013528
16346,1629,0.193704985256
16352,1630,0.193707614196
16359,1630,0.19448170726
16449,1639,0.194481976039
16495,1644,0.194481991682
16570,1652,0.194482075751
16590,1654,0.19449714121
16668,1661,0.194497188082
16933,1688,0.194497197309
17051,1700,0.194497198122
17089,1703,0.194497231294
17148,1709,0.194511602881
17153,1710,0.194514209245
17177,1712,0.194516135501
17186,1713,0.196942766751
17188,1713,0.196942767128
17248,1719,0.196942767386
17364,1731,0.19694312287
17409,1735,0.196943875668
17437,1738,0.196944023492
17451,1740,0.196946660524
17638,1758,0.196946936089
17657,1760,0.196947593688
17693,1764,0.196950394603
17703,1765,0.197076300498
17930,1788,0.197076417958
17951,1790,0.197076579961
17953,1790,0.197076664859
17991,1794,0.19707668257
18008,1795,0.197076924897
18033,1798,0.197291089112
18133,1808,0.197291394549
18250,1820,0.197321430145
18264,1821,0.197321890859
18433,1838,0.197322402578
18475,1842,0.19737752292
18626,1857,0.197377565035
18696,1864,0.197378053728
18744,1869,0.197378105392
18769,1871,0.197378178552
18835,1878,0.197378256006
18929,1887,0.197380560122
18933,1888,0.197380709703
19050,1900,0.197380849059
19064,1901,0.197380964016
19079,1902,0.197381021044
19256,1920,0.197381701575
19396,1934,0.197382366516
19423,1937,0.197382409405
19504,1945,0.197382455134
19608,1955,0.197394243837
19716,1966,0.1973953533
19757,1970,0.197395442037
19761,1971,0.197400321087
19781,1973,0.197400675846
19829,1977,0.197400680172
19853,1980,0.197400718351
20037,1998,0.197400778353
20047,1999,0.197401171484
20299,2024,0.197401353659
20435,2038,0.197402510545
20444,2039,0.197402522016
20448,2039,0.197439325389
20692,2064,0.197484126464
20737,2068,0.197484127047
20866,2081,0.197512422078
21103,2105,0.197530968048
21149,2109,0.197547369158
21294,2124,0.197547398364
21411,2136,0.197547399409
21437,2138,0.197547654566
21866,2181,0.197556012547
21978,2192,0.19755617678
22164,2211,0.197556309046
22198,2214,0.197557038185
22203,2215,0.19755705768
22467,2241,0.197557450962
22508,2245,0.197557626125
22730,2268,0.197647892067
22923,2287,0.197647902114
23050,2300,0.197664182626
23072,2302,0.19766419282
23266,2321,0.197664316097
23315,2326,0.197667366898
23403,2335,0.197667369978
23584,2353,0.197749516591
23761,2371,0.197749516631
23781,2373,0.197750448361
23893,2384,0.197750478735
23974,2392,0.197751569931
24092,2404,0.19798321906
24168,2411,0.197983219304
24225,2417,0.197983819124
24236,2418,0.197984362624
24274,2422,0.197991756581
24424,2437,0.19799176811
24466,2441,0.197992424833
24511,2446,0.197992537179
24546,2449,0.197992602197
24560,2451,0.198364876898
24844,2479,0.198365066737
24855,2480,0.198365069386
24900,2485,0.198365429962
24901,2485,0.198369721026
25044,2499,0.198370015914
25203,2515,0.198370030429
25223,2517,0.198370133979
25235,2518,0.198370147148
25242,2519,0.198370493598
25251,2520,0.198370874745
25458,2540,0.198408010449
25520,2547,0.198438941604
25603,2555,0.19843895257
25856,2580,0.198439052405
26019,2596,0.198439315155
26025,2597,0.198448910158
26244,2619,0.19845877435
26340,2629,0.198465558899
26516,2646,0.198466231681
26521,2647,0.198466391416
26563,2651,0.198467017971
26588,2653,0.198467063787
26622,2657,0.198755975063
26760,2671,0.198756788531
26994,2694,0.198762821423
27017,2696,0.198762823242
27154,2710,0.198762830606
27306,2725,0.198762946106
27410,2736,0.19876294622
27798,2774,0.19876576907
27896,2784,0.198765772991
28179,2812,0.19876879707
28311,2826,0.198768837138
28398,2834,0.198772777491
28591,2854,0.198778761427
28798,2874,0.198778827117
28914,2886,0.198779359695
28945,2889,0.198804459088
29255,2920,0.198819367299
29380,2933,0.198819582504
29956,2990,0.198819585494
30095,3004,0.198819586704
30349,3029,0.198819748095
30532,3048,0.198821540028
30674,3062,0.198831815389
30924,3087,0.198831818841
31081,3103,0.201305360577
31268,3121,0.201306689448
31457,3140,0.201306799899
31505,3145,0.201306817845
31620,3157,0.201308249457
31626,3157,0.201308249485
31740,3169,0.201314387706
31929,3187,0.201314585959
32087,3203,0.201316198849
32109,3205,0.201316648755
32168,3211,0.202113831234
32223,3217,0.202125418696
32532,3248,0.202131867623
32592,3254,0.202131972643
32970,3292,0.202132006938
