evaluation,generation,hypervolume
0,0,0.036258326742
2,0,0.0374076061043
3,0,0.0393240340956
4,0,0.0399943287295
5,0,0.0400536918636
6,0,0.0400660887409
7,0,0.0406709633957
8,0,0.0407640500862
9,0,0.0409199228065
10,0,0.0410056024211
12,0,0.0414749570086
13,0,0.0427668302998
14,0,0.0427669059838
16,0,0.0436559398333
17,0,0.044874082859
18,0,0.0462997004517
21,0,0.0480441612753
22,0,0.0480468350543
23,0,0.0480606338441
24,0,0.0480753124587
26,0,0.0480919332269
27,0,0.048115323399
29,0,0.0483862212943
31,0,0.0483862878909
32,0,0.0484099499792
33,0,0.0485189071771
35,0,0.0485197068823
37,0,0.0485953432253
40,0,0.0486030999948
42,0,0.0487161150635
43,0,0.0490159670406
44,0,0.0507398172074
45,0,0.0508217352414
46,0,0.0508475105977
50,0,0.0508481501875
53,0,0.0508609672019
55,0,0.05086402794
57,0,0.0508698085542
59,0,0.050905333035
60,1,0.0510127685747
61,1,0.0510613458769
63,1,0.0510638108429
65,1,0.051063838869
66,1,0.0510985332971
71,2,0.0511276170529
73,2,0.0511285343999
75,2,0.0521444282528
77,2,0.0521459777949
78,2,0.052146057121
80,3,0.0523578566409
82,3,0.0524015753031
84,3,0.052488922248
85,3,0.0528188410779
86,3,0.0528703618884
87,3,0.0528934236722
90,4,0.0529068223652
92,4,0.0551973296366
99,4,0.0552242237736
104,5,0.0552253942874
105,5,0.0552958977467
107,5,0.055295897989
108,5,0.0553216819776
112,6,0.0553290306462
113,6,0.0555591936609
116,6,0.0555596195847
117,6,0.0556658432356
120,7,0.0556901269976
124,7,0.055690127357
130,8,0.0577708786135
133,8,0.0577713937874
134,8,0.0577819041957
135,8,0.0577843692728
137,8,0.0577844098829
138,8,0.0577844100753
140,9,0.057785039705
143,9,0.0578106019988
146,9,0.057816226775
149,9,0.0581478063228
150,10,0.0581486038909
151,10,0.0581940462605
152,10,0.0583294742811
153,10,0.0583295371303
156,10,0.0583298617644
159,10,0.0583298617775
160,11,0.0583350094585
161,11,0.0583464028649
163,11,0.0583467206559
167,11,0.0583467879025
169,11,0.0583468193694
174,12,0.0590838152395
179,12,0.059087519253
181,13,0.0591078463086
182,13,0.0591122381436
183,13,0.059112296522
184,13,0.0591122970236
186,13,0.059112297479
192,14,0.0591123069012
193,14,0.0591819409551
195,14,0.0591828987482
197,14,0.0591877232746
203,15,0.0591879152836
206,15,0.0591879188332
208,15,0.0591879882173
211,16,0.0591880926692
214,16,0.0591881879031
219,16,0.0591897330833
220,17,0.0592498216892
228,17,0.0592990569968
230,18,0.0592991707261
233,18,0.0595181914637
238,18,0.0595765836271
242,19,0.0595787493437
243,19,0.0595862169225
244,19,0.0596034692575
245,19,0.0596041494367
249,19,0.0596042461435
255,20,0.0596042474139
257,20,0.0596042476273
261,21,0.0597613349028
263,21,0.0597615816624
277,22,0.059761660294
280,23,0.0597616603502
285,23,0.0597635928972
287,23,0.0598097976487
294,24,0.0598098043775
298,24,0.0598304560662
302,25,0.0598304597351
305,25,0.0598311122074
309,25,0.0598376080598
313,26,0.0598376305407
314,26,0.0598377810057
315,26,0.0598381076181
322,27,0.0598590691277
323,27,0.0598650482045
327,27,0.0598650482361
329,27,0.0598650490679
338,28,0.0598650490686
347,29,0.0598650506877
355,30,0.0598653838253
364,31,0.0598653843747
367,31,0.0598676697214
369,31,0.0598701514223
370,32,0.0598849856789
371,32,0.0598861051128
375,32,0.0598861061656
388,33,0.0598882158842
390,34,0.0599584560427
396,34,0.0600132694261
403,35,0.0601727782366
404,35,0.0601727817092
409,35,0.0601727818723
410,36,0.0601728929553
414,36,0.0601756161586
429,37,0.0601756161603
436,38,0.0601756205747
444,39,0.0601756237839
445,39,0.0601756238146
452,40,0.0601756238498
453,40,0.06018549913
472,42,0.0601855043909
473,42,0.0601905363551
474,42,0.0601905364203
477,42,0.0601937591225
487,43,0.0602004774393
497,44,0.0602004818601
498,44,0.0602005003614
502,45,0.0629398900465
519,46,0.0629399126684
523,47,0.062939912669
528,47,0.062939912673
532,48,0.0630228455726
542,49,0.0630232888729
543,49,0.0630551363672
545,49,0.0630551368095
550,50,0.06305629602
552,50,0.0630589015732
558,50,0.0630591782117
566,51,0.0630591920467
577,52,0.063059194703
578,52,0.0630597028413
581,53,0.0630597065391
590,54,0.0630601091221
595,54,0.0630726139368
609,55,0.0630726174873
612,56,0.0630754419101
614,56,0.063075521549
621,57,0.0630755215629
630,58,0.0630755215727
632,58,0.0630756279794
635,58,0.0630756552218
638,58,0.0630757015101
643,59,0.063076755763
649,59,0.0630767587646
652,60,0.063076758802
654,60,0.0630767592349
661,61,0.063076759236
663,61,0.0630780557957
664,61,0.0630790085121
665,61,0.0630790085136
668,61,0.063079008524
684,63,0.0630793558115
686,63,0.0630832306226
698,64,0.0632415039874
712,66,0.0632424323818
713,66,0.0632424452484
731,68,0.0632806576874
733,68,0.0632833197217
751,70,0.0632835065167
753,70,0.0632835073564
755,70,0.0632835721238
758,70,0.0632844311187
760,71,0.0632844443805
764,71,0.0632847713565
769,71,0.0632848316701
772,72,0.0633249462453
773,72,0.0633249471347
775,72,0.0633249888377
785,73,0.0633258619007
791,74,0.0633818686152
794,74,0.0633820596706
798,74,0.0633820626873
800,75,0.0633820660488
806,75,0.0633822797048
815,76,0.0633823407459
818,76,0.0634057254275
820,77,0.0634205308365
832,78,0.0634792354174
838,78,0.0634925759343
843,79,0.0634926601383
844,79,0.0634939783064
849,79,0.0634997098197
854,80,0.0634999699175
855,80,0.0634999882127
858,80,0.0635207784788
861,81,0.0635305626023
864,81,0.0635308511967
875,82,0.0636009882371
886,83,0.0636010452963
888,83,0.0636027438372
889,83,0.0636078139273
890,84,0.0636078188628
894,84,0.0643775467146
897,84,0.0643858089481
900,85,0.064385907404
904,85,0.0644402306078
905,85,0.0644405897632
916,86,0.0644405897637
917,86,0.064440662168
919,86,0.0644406623266
935,88,0.0644406623896
944,89,0.0644411122482
954,90,0.0644427584763
958,90,0.0644827427674
973,92,0.0644827946603
980,93,0.0644828106325
1005,95,0.0645007407669
1007,95,0.0645007410197
1009,95,0.0645007410224
1010,96,0.0646859859606
1014,96,0.0646860518155
1019,96,0.0646861222833
1030,98,0.0646861238332
1034,98,0.0646861492252
1036,98,0.0646882834329
1056,100,0.0646883207768
1060,101,0.0646884688083
1064,101,0.0646986920252
1086,103,0.0646993194907
1089,103,0.0646993204335
1096,104,0.0646993214101
1112,106,0.0646993226232
1113,106,0.0646996750122
1115,106,0.0646996973804
1133,108,0.0647676493735
1141,109,0.0647679448233
1159,110,0.064767945215
1169,111,0.0647683450844
1184,113,0.0647684208339
1190,114,0.0647684562902
1191,114,0.0647684632007
1219,116,0.0648009556236
1221,117,0.0648051921393
1223,117,0.0648053617379
1225,117,0.0648053617385
1233,118,0.0648066846262
1235,118,0.0648067036935
1236,118,0.0648068445729
1237,118,0.0648122903449
1249,119,0.0648183133319
1284,123,0.0648183987977
1291,124,0.0648207293723
1300,125,0.0648211259701
1301,125,0.0648846826137
1311,126,0.064902100962
1327,127,0.064902102677
1337,128,0.0649021425758
1338,128,0.0649021453778
1343,129,0.0649021482661
1356,130,0.0649022069976
1375,132,0.0649028072993
1383,133,0.0652530930357
1392,134,0.0652544225769
1406,135,0.0652596994251
1411,136,0.0652699596556
1415,136,0.0652699737689
1424,137,0.0652744836801
1426,137,0.0652787429365
1440,139,0.0652792766016
1461,141,0.0652848109618
1464,141,0.0652848799076
1486,143,0.0652848799081
1487,143,0.0652848804609
1513,146,0.0652848873863
1514,146,0.0652848893334
1524,147,0.0652848893846
1532,148,0.065438548963
1546,149,0.0654385553718
1565,151,0.0654386897029
1566,151,0.065439090218
1574,152,0.0654390916152
1575,152,0.0654390916167
1586,153,0.0654390921132
1588,153,0.0654390953005
1589,153,0.0654390954645
1597,154,0.0654390972471
1624,157,0.0654401474829
1643,159,0.065440148516
1647,159,0.065440170024
1658,160,0.0654622621173
1678,162,0.0656586027947
1696,164,0.0656586401109
1709,165,0.0656586552214
1713,166,0.0656694752053
1716,166,0.0656695018745
1741,169,0.0656695018973
1760,171,0.0656697421961
1777,172,0.0656698258776
1781,173,0.0656703172606
1784,173,0.0656764508335
1799,174,0.0657065603307
1804,175,0.0657113412796
1819,176,0.065711342944
1822,177,0.0657115296378
1823,177,0.0657119400064
1828,177,0.0657120487403
1839,178,0.0657120487412
1863,181,0.0657120532567
1866,181,0.0657120611798
1874,182,0.0657325155026
1877,182,0.0657325688983
1887,183,0.0657325689004
1896,184,0.0657328146032
1920,187,0.0657328306175
1925,187,0.0657410386734
1934,188,0.0657410387301
1948,189,0.0657410571232
1953,190,0.0657411648341
1976,192,0.0657415348183
1978,192,0.0657415364828
1980,193,0.0657415423017
1992,194,0.0657420907758
1997,194,0.0657484175098
2000,195,0.0657496250008
2006,195,0.0657519375978
2011,196,0.0657519649432
2045,199,0.065751965126
2053,200,0.0657521885984
2086,203,0.0657521886007
2107,205,0.0657584872308
2108,205,0.065758501548
2120,207,0.0657888632005
2128,207,0.0657898217225
2132,208,0.0657898240856
2151,210,0.0657910101705
2153,210,0.0657910133278
2156,210,0.065791190167
2162,211,0.0657912994081
2168,211,0.0657913013549
2170,212,0.0658200529134
2178,212,0.0658200581638
2197,214,0.0658602923123
2214,216,0.0658614732896
2225,217,0.0658614769992
2235,218,0.0658614840941
2249,219,0.0658614980432
2280,223,0.0658614999057
2288,223,0.0658654230577
2329,227,0.0658654252693
2331,228,0.0658729270797
2351,230,0.0658754108441
2353,230,0.0658758631993
2372,232,0.0658763163038
2377,232,0.0658763369152
2393,234,0.0658765920416
2397,234,0.0658766052125
2417,236,0.0658766409732
2419,236,0.0658766413272
2420,237,0.0658766413724
2427,237,0.0658766416619
2429,237,0.0658766770006
2433,238,0.065876760646
2440,239,0.0658770833191
2443,239,0.0658770833757
2495,244,0.0658771057555
2496,244,0.0658773568133
2498,244,0.0658774576035
2521,247,0.0658774586123
2525,247,0.0658775729073
2530,248,0.0658786745665
2537,248,0.0658788140058
2551,250,0.065878827674
2565,251,0.0658788280334
2596,254,0.0659094878797
2618,256,0.0659095965437
2687,263,0.0659095997311
2698,264,0.0659108624382
2706,265,0.0659177346053
2707,265,0.0659177352822
2714,266,0.065917957756
2723,267,0.0659184045623
2726,267,0.0659184059976
2733,268,0.0659423247977
2752,270,0.065942336818
2755,270,0.0659454111357
2764,271,0.0659454125014
2789,273,0.0659464539359
2810,276,0.0659464540655
2824,277,0.0659473786176
2830,278,0.0659639706169
2835,278,0.0659649590732
2842,279,0.0659649595987
2876,282,0.0659650138842
2896,284,0.0659900332758
2904,285,0.0659900334535
2911,286,0.065990267826
2914,286,0.0659907576333
2919,286,0.065990757817
2939,288,0.0659907583922
2942,289,0.0659913069408
2946,289,0.0659913070189
2960,291,0.0659913116935
2993,294,0.0659913385925
2997,294,0.0659913391046
3008,295,0.0659924115543
3033,298,0.0659924115543
3043,299,0.065992411703
3077,302,0.0660094885848
3080,303,0.0660094886294
3088,303,0.0660094888374
3090,304,0.0660095410862
3097,304,0.066009541478
3107,305,0.0660100284834
3115,306,0.0660104687358
3120,307,0.0660105283431
3142,309,0.0660105639779
3159,310,0.066010564267
3172,312,0.0660105653583
3178,312,0.0660115786812
3208,315,0.0660115786812
3223,317,0.0660120150506
3228,317,0.0660120207092
3230,318,0.0660120558003
3234,318,0.066012434742
3235,318,0.0660124350061
3251,320,0.0660125079348
3271,322,0.0660125102958
3274,322,0.0660130615334
3290,324,0.0660130642111
3306,325,0.0660134840434
3309,325,0.0660136757472
3313,326,0.0660136849582
3315,326,0.0660136850318
3321,327,0.0660144807897
3337,328,0.0660144809137
3339,328,0.0660146149096
3342,329,0.066016113114
3344,329,0.066016113722
3351,330,0.0660163967212
3369,331,0.0661280801078
3388,333,0.0661401776935
3414,336,0.0661401925607
3418,336,0.0661401925634
3420,337,0.0661401941596
3423,337,0.0661402088355
3444,339,0.06614020885
3454,340,0.0661402088725
3487,343,0.066141519834
3488,343,0.0661415368579
3490,344,0.0661415382867
3506,345,0.0661415484009
3515,346,0.0661415513093
3534,348,0.066145414135
3536,348,0.0661454142191
3539,348,0.0661454550063
3549,349,0.0661495780036
3559,350,0.0661497942273
3594,354,0.0664485344178
3605,355,0.0664485347649
3618,356,0.0664488516895
3626,357,0.0664488517224
3674,362,0.0666003709663
3690,364,0.0666004945183
3696,364,0.0666004946755
3706,365,0.0666004953647
3723,367,0.0666004954443
3731,368,0.0666005814441
3743,369,0.0666494059457
3744,369,0.0666556975291
3758,370,0.0666566116284
3770,372,0.0666566123122
3795,374,0.0666567869481
3815,376,0.0666567869765
3816,376,0.0667183248927
3820,377,0.0667183538576
3826,377,0.0667183545091
3858,380,0.066718373022
3888,383,0.0667185953998
3901,385,0.0667186038793
3904,385,0.066718619187
3964,391,0.0667186495038
3987,393,0.0667186504293
4020,397,0.0667186540402
4029,397,0.0667191822
4042,399,0.0667191975583
4052,400,0.0667192026367
4067,401,0.0667192376951
4068,401,0.0667192378926
4109,405,0.0667192382674
4124,407,0.0667193254681
4131,408,0.0667193255268
4136,408,0.0667193262634
4148,409,0.0667360113556
4157,410,0.0667367624397
4180,413,0.0667367672333
4185,413,0.0667367829526
4193,414,0.066737153277
4197,414,0.0667377578339
4225,417,0.0667377578594
4231,418,0.066737787365
4247,419,0.0667379633711
4248,419,0.0667379644923
4279,422,0.0667379726592
4304,425,0.0667379732404
4310,426,0.066737977531
4311,426,0.0667412898372
4315,426,0.0668083246727
4323,427,0.0668085933839
4325,427,0.0668085933839
4340,429,0.0668085999806
4361,431,0.0668095231889
4365,431,0.0668500728923
4373,432,0.0668510791446
4397,434,0.0668512159924
4403,435,0.0668865666569
4432,438,0.0668866113776
4462,441,0.0668866140032
4471,442,0.066886616529
4491,444,0.0668866443395
4525,447,0.066886650396
4543,449,0.0668866536844
4544,449,0.0669026578955
4550,450,0.0669026788843
4552,450,0.0669028647814
4571,452,0.0669028680537
4590,454,0.0669028850225
4619,456,0.0669028855057
4683,463,0.0669028888541
4729,467,0.0669061319507
4734,468,0.066907260866
4736,468,0.0669072830227
4751,470,0.0669072845129
4761,471,0.0669073385715
4770,472,0.0669613674853
4776,472,0.0669614112177
4780,473,0.067926159427
4793,474,0.067926161929
4798,474,0.0679261619456
4804,475,0.067930026123
4821,477,0.0679307600593
4833,478,0.0680556073054
4835,478,0.0680559327934
4838,478,0.0680559350516
4841,479,0.0680560279025
