evaluation,hypervolume
0,0.223124361317
1,0.230089669451
13,0.232528067404
17,0.232528962004
22,0.235234322087
129,0.24238399469
141,0.244884300233
145,0.244885194834
168,0.244894872553
216,0.246325845966
257,0.250936073954
269,0.253463202066
296,0.253472986059
344,0.254938889696
385,0.258988152893
398,0.260940593935
407,0.260942330405
424,0.261557347309
463,0.261841595611
513,0.265246400605
526,0.265394482084
535,0.265396218554
552,0.266020191509
641,0.271559340628
663,0.273197497628
680,0.274178181618
770,0.27480925726
771,0.275699520341
778,0.275700473508
781,0.275821691561
783,0.277491781991
786,0.278692645761
791,0.279745822878
793,0.280635275169
808,0.28162883243
879,0.281629091524
898,0.281649358329
899,0.28204950779
906,0.282050460957
909,0.282173207881
911,0.28360500322
914,0.284820771241
919,0.285883613629
921,0.286784256859
936,0.287787312113
1026,0.287978548909
1027,0.288890396901
1034,0.288891350068
1037,0.28901548259
1039,0.290141854779
1042,0.29137113036
1047,0.292446133285
1064,0.293461138613
1073,0.293888713754
1075,0.293888864773
1111,0.294173161424
1126,0.29417734422
1154,0.294198281105
1155,0.294576273975
1162,0.294577227142
1165,0.294702921856
1167,0.296239815317
1172,0.297014157693
1175,0.29854775158
1192,0.299571450311
1201,0.300024579899
1203,0.300024766071
1239,0.300312697529
1254,0.300316945276
1282,0.303456076775
1283,0.303459948412
1290,0.303460901579
1293,0.303462436011
1295,0.305162557083
1300,0.30516309625
1303,0.306267782217
1329,0.306268188831
1331,0.306268375003
1382,0.30627183785
1400,0.306468586925
1410,0.309559781931
1411,0.309561001492
1418,0.309561954659
1421,0.309563130998
1423,0.311237324766
1431,0.312323361126
1510,0.312325427537
1538,0.315446069934
1539,0.315464705384
1546,0.315465658551
1549,0.315469395905
1551,0.317158026632
1556,0.317172295053
1560,0.317175887457
1577,0.317177199528
1583,0.317182076964
1585,0.317197614336
1587,0.3171984667
1590,0.317205560399
1601,0.317205610154
1604,0.31720728669
1605,0.317207413631
1610,0.317207433751
1612,0.317210498172
1613,0.317211103488
1635,0.317218918226
1638,0.317222664529
1641,0.317228413205
1652,0.317629713761
1653,0.317636303043
1666,0.317646774595
1667,0.317652758194
1674,0.317653711361
1677,0.317655530957
1684,0.31765784735
1687,0.317716721793
1713,0.317720763268
1715,0.31772094944
1718,0.317729222907
1794,0.31774049076
1795,0.317754901717
1802,0.317755854884
1805,0.317758812371
1812,0.317768220434
1816,0.317771588664
1833,0.317772900735
1839,0.317777778171
1841,0.31778808011
1843,0.317788932474
1857,0.317788982229
1860,0.317790658765
1868,0.317793723186
1869,0.317794328501
1879,0.317796682806
1891,0.317800748099
1894,0.317805184271
1897,0.317810932947
1908,0.317816034334
1909,0.317822623616
1912,0.317825367822
1922,0.317839475118
1923,0.317906386731
1930,0.317907339898
1933,0.318038886721
1940,0.318849701154
1944,0.31889003269
1960,0.32030831508
1961,0.320309627151
1967,0.320314504587
1969,0.320332445919
1971,0.320333298284
1974,0.320341571751
1985,0.320341621505
1988,0.320343298042
1996,0.320346362463
1997,0.320346967778
2019,0.320350431989
2025,0.320356180665
2036,0.320360054508
2037,0.32036664379
2050,0.320546549009
2051,0.321491045927
2058,0.321491999094
2061,0.321620539987
2068,0.322412620581
2072,0.322452088055
2089,0.322453400126
2095,0.322458277562
2097,0.323311651097
2099,0.323312503461
2113,0.323312553216
2116,0.323314229752
2124,0.323317294173
2125,0.323317899489
2135,0.323612453254
2147,0.323612752285
2153,0.323618500961
2165,0.323625090243
2178,0.323631411616
2179,0.324101965992
2186,0.324102919159
2189,0.324231343866
2191,0.324231995739
2196,0.325023352232
2200,0.325062786309
2217,0.32506409838
2223,0.325068975816
2225,0.325921569371
2241,0.325921619126
2244,0.325923859876
2252,0.325926924298
2253,0.325927529613
2263,0.326221813046
2275,0.326223262537
2281,0.326229011213
2292,0.326237130191
2293,0.326243719474
2306,0.326268124859
2307,0.326269443244
2314,0.32627039641
2317,0.326271586094
2319,0.326279757686
2328,0.326281008346
2344,0.326284034566
2345,0.326285346636
2351,0.326290224072
2353,0.326299692585
2369,0.32629974234
2372,0.326301854149
2373,0.32630198109
2378,0.32630200121
2380,0.326305065631
2381,0.326305670947
2391,0.326309621223
2409,0.326315369899
2420,0.32633162959
2421,0.326338964806
2434,0.327027413335
2435,0.327037463645
2442,0.327038416812
2445,0.32704078551
2447,0.328761271805
2452,0.328767857678
2456,0.328771197114
2473,0.328772509185
2479,0.328777386621
2481,0.328787664494
2483,0.328788516858
2497,0.328788566613
2500,0.328790243149
2501,0.32879037009
2506,0.32879039021
2508,0.328793454632
2509,0.328794059947
2519,0.328796414252
2531,0.32880422899
2534,0.328808665162
2537,0.328814413838
2548,0.329223134982
2562,0.331262624231
2563,0.33126678186
2570,0.331267735027
2573,0.331269311334
2575,0.332989481201
2580,0.332990281342
2584,0.332993252548
2601,0.332994564618
2607,0.332999442055
2609,0.333006884514
2611,0.333007736878
2625,0.333007786633
2628,0.333009463169
2629,0.33300959011
2634,0.333009610231
2636,0.333012674652
2637,0.333013279967
2647,0.333014796778
2662,0.33301923295
2665,0.333024981626
2676,0.333440471306
2680,0.33344963243
2690,0.333465819817
2691,0.333478640225
2698,0.333479593392
2701,0.333482436367
