evaluation,generation,hypervolume
0,0,0.261487999922
1,0,0.272030086606
3,0,0.288075770737
14,0,0.295556363525
18,0,0.296131261763
40,0,0.298613743982
44,0,0.310316777567
64,1,0.315967283539
168,11,0.316775414621
207,15,0.319496716643
213,16,0.323015904973
279,22,0.334176023135
289,23,0.334177035593
371,32,0.334277113227
434,38,0.334369926957
688,63,0.33441585314
724,67,0.334443176741
740,69,0.334507128639
871,82,0.336833385717
1082,103,0.336896988659
1151,110,0.336906908816
1257,120,0.336920563619
1440,139,0.337146313806
1471,142,0.340718142845
1706,165,0.340748324457
2055,200,0.344452076213
2079,202,0.344456342536
2273,222,0.3445242651
2282,223,0.345492917134
2426,237,0.349778181059
2773,272,0.349862479265
2946,289,0.349863536913
3173,312,0.350672211429
3822,377,0.350758901489
5798,574,0.350760258486
6272,622,0.351527580316
6795,674,0.351631795532
7951,790,0.351650428074
7958,790,0.351656329919
12541,1249,0.354730079264
12636,1258,0.354737291089
13112,1306,0.361074419195
13691,1364,0.361096627691
14450,1440,0.363100816027
14517,1446,0.363103442885
17921,1787,0.363174209985
19985,1993,0.363306029626
21564,2151,0.363307550593
23983,2393,0.363313446945
24443,2439,0.363318339706
26726,2667,0.364630997098
27968,2791,0.364641852744
29900,2985,0.364653545612
31006,3095,0.364660311904
34565,3451,0.364741936274
36065,3601,0.366555632116
48262,4821,0.366704127316
67472,6742,0.366704805639
100000,9995,0.366704805639
