evaluation,generation,hypervolume
0,0,0.122752606942
1,0,0.131927323198
2,0,0.139738544256
3,0,0.152470493053
4,0,0.15276382367
5,0,0.152795820553
7,0,0.153783068929
8,0,0.153785469169
9,0,0.154541977875
10,0,0.154585503971
11,0,0.155223752342
12,0,0.155239144518
17,0,0.155247552149
19,0,0.155289741213
20,0,0.155294834996
22,0,0.155523142343
25,0,0.157819605068
27,0,0.157829984033
28,0,0.158100554842
29,0,0.158107129957
31,0,0.159090001168
33,0,0.159227137814
35,0,0.159227138172
36,0,0.159229203499
38,0,0.160048097954
39,0,0.160516137138
40,0,0.160525132889
43,0,0.165282047783
44,0,0.16529740669
45,0,0.165299828275
46,0,0.165388754998
49,0,0.171955252608
50,0,0.172563491884
51,0,0.172567041773
56,0,0.172572703566
61,1,0.172698593349
66,1,0.172714335208
67,1,0.172714528735
70,2,0.172914933271
71,2,0.172914980733
73,2,0.172915289887
74,2,0.173274587259
75,2,0.173274824626
77,2,0.173286017802
78,2,0.173303344888
80,3,0.17330346651
86,3,0.173303846042
90,4,0.173305018349
92,4,0.173308308648
96,4,0.174658708112
97,4,0.174765399489
99,4,0.174765410475
101,5,0.174765634113
108,5,0.174765674183
112,6,0.174840547893
116,6,0.174840617577
118,6,0.174840736048
127,7,0.174847485917
129,7,0.17494044764
131,8,0.174940586498
135,8,0.174940638584
143,9,0.176274884676
148,9,0.176275180659
158,10,0.176567387722
163,11,0.176568479497
166,11,0.176595032499
173,12,0.176596801423
180,13,0.176613615164
186,13,0.176620261169
187,13,0.176654631061
197,14,0.176662345592
199,14,0.176677631607
200,15,0.176691417199
204,15,0.176695193228
213,16,0.176719161983
219,16,0.176719466894
220,17,0.176719665396
221,17,0.176728496868
230,18,0.176729112676
232,18,0.176732214884
242,19,0.176743219896
249,19,0.176872438774
250,20,0.176872771698
253,20,0.176919824527
272,22,0.178522053329
275,22,0.178522393365
277,22,0.178522611097
284,23,0.178522726255
287,23,0.178524255805
295,24,0.17852425594
298,24,0.178524710581
306,25,0.179890168773
315,26,0.179923568918
318,26,0.179925698741
324,27,0.179941025261
329,27,0.179941149649
339,28,0.17995581819
346,29,0.179956017946
354,30,0.179957625896
368,31,0.179983355203
394,34,0.179983375434
411,36,0.179985323474
428,37,0.180183619518
434,38,0.188300329102
436,38,0.188368182632
437,38,0.18837116458
443,39,0.188371230121
453,40,0.188451058522
460,41,0.188451098032
466,41,0.188725670355
472,42,0.188753186938
507,45,0.188758079918
509,45,0.188758089635
521,47,0.188758415865
522,47,0.188758520579
534,48,0.188758802104
536,48,0.188758861847
556,50,0.18875903845
565,51,0.188759497359
567,51,0.188830452283
576,52,0.188830458833
595,54,0.188830753795
600,55,0.188830968007
603,55,0.188859874509
609,55,0.188859899313
617,56,0.191211658342
618,56,0.191211942365
619,56,0.191212006751
639,58,0.191213773164
640,59,0.191213943987
644,59,0.191286175496
667,61,0.191286263135
682,63,0.191286354016
689,63,0.191486545984
705,65,0.191489867648
711,66,0.191508126098
718,66,0.191529222376
720,67,0.191550255722
748,69,0.19155094251
775,72,0.191551994004
785,73,0.191553517103
798,74,0.191554330924
809,75,0.191554379943
810,76,0.191580497908
824,77,0.191612125141
832,78,0.191612182519
843,79,0.191612792622
846,79,0.191624576145
855,80,0.191624904706
878,82,0.191625926952
892,84,0.191626266266
896,84,0.191626488929
906,85,0.191626605735
912,86,0.191673410272
914,86,0.191673416559
933,88,0.191673853844
939,88,0.192108812894
942,89,0.192108813228
943,89,0.19210881328
985,93,0.192109110505
1021,97,0.192109118636
1064,101,0.192116516199
1073,102,0.19211666186
1106,105,0.19211676217
1112,106,0.192202448928
1122,107,0.192203687399
1137,108,0.19221620952
1150,110,0.19221630946
1161,111,0.192216535972
1167,111,0.192435410098
1200,115,0.192435582917
1204,115,0.192435635754
1211,116,0.192473665472
