evaluation,generation,hypervolume
0,0,0.247070756243
1,0,0.255273802041
2,0,0.261571030274
3,0,0.261598896758
4,0,0.26489245117
6,0,0.278435048297
7,0,0.281879262571
8,0,0.28812962503
11,0,0.288253954788
12,0,0.293711743752
14,0,0.294771403238
16,0,0.294807326841
21,0,0.294839304274
34,0,0.294852215278
42,0,0.299975224333
50,0,0.304707543343
51,0,0.304713034212
58,0,0.304887632916
64,1,0.304902954991
65,1,0.305003143525
73,2,0.30538783501
79,2,0.305388418369
89,3,0.305399031864
90,4,0.314970697266
91,4,0.31511036237
93,4,0.315155706208
114,6,0.315163168316
131,8,0.3152005153
136,8,0.315207807121
140,9,0.315253383824
149,9,0.31537372821
151,10,0.315391142438
155,10,0.315442540973
171,12,0.315571372394
172,12,0.315600248669
178,12,0.315637826682
179,12,0.315947422811
214,16,0.316026097595
234,18,0.316966680478
257,20,0.317014015004
272,22,0.317217018873
286,23,0.317307330066
308,25,0.317330745476
313,26,0.317362571834
326,27,0.317372087072
353,30,0.317381952522
375,32,0.317393764064
389,33,0.317409166729
401,35,0.317430773514
427,37,0.317456255235
446,39,0.318513027874
458,40,0.318610686462
478,42,0.318721521308
490,44,0.320150811073
531,48,0.320433079198
611,56,0.320441439111
628,57,0.320559251126
649,59,0.320612210891
744,69,0.32360680625
755,70,0.323640164348
866,81,0.323673252639
942,89,0.323758939001
989,93,0.323768627745
1072,102,0.32773150649
1091,104,0.327738566387
1092,104,0.327742497782
1094,104,0.327796785689
1108,105,0.327799586366
1127,107,0.327829891009
1331,128,0.327831705247
1359,130,0.327890296467
1525,147,0.328086019649
1552,150,0.328126128357
1648,159,0.3282508346
1692,164,0.328278667934
1708,165,0.334385886958
1919,186,0.334440290499
1948,189,0.334540597929
1999,194,0.334839484389
2028,197,0.33505821621
2135,208,0.335074021252
2243,219,0.335221681165
2334,228,0.335223587089
2400,235,0.335225923933
2470,242,0.335235068929
2720,267,0.335287334136
2780,273,0.335306135433
3011,296,0.336848632558
3169,311,0.336864715084
3319,326,0.336881290897
3449,339,0.336953627982
3549,349,0.336953629864
3553,350,0.336956861813
3587,353,0.337112317311
4129,407,0.337149813644
4191,414,0.337216841762
4219,416,0.337217247401
4394,434,0.337236646055
4582,453,0.337345486055
4761,471,0.337364948413
4765,471,0.33736702597
5477,542,0.337392219224
5583,553,0.337422211941
5715,566,0.340280846338
5725,567,0.34028978465
6342,629,0.340293348461
7275,722,0.340336060118
7624,757,0.340565045618
7789,773,0.340572973874
8011,796,0.342143717154
8076,802,0.342145454713
8087,803,0.342156931366
8201,815,0.342175715986
8314,826,0.342175795813
8781,873,0.342182271377
9021,897,0.342201152038
9076,902,0.342201219993
9079,902,0.3422653951
9123,907,0.3422763805
9598,954,0.34371535104
9752,970,0.343772691246
9848,979,0.343865044199
9873,982,0.344874542142
10482,1043,0.345382267861
13570,1352,0.345728413541
14730,1468,0.34573702192
15050,1500,0.345753000364
17028,1697,0.345762710095
17524,1747,0.345778515057
18895,1884,0.346852310568
19908,1985,0.346949098848
21015,2096,0.347008563709
22165,2211,0.349132083106
24004,2395,0.349139474516
24851,2480,0.349141816128
26847,2679,0.349144713416
27382,2733,0.349161181078
30180,3013,0.349984666201
30211,3016,0.349998380817
30962,3091,0.35000924819
31400,3135,0.350018043225
34693,3464,0.35002277263
36015,3596,0.350025585809
37099,3704,0.350056071782
38290,3824,0.350059457423
39651,3960,0.353748727384
40133,4008,0.353827057994
40160,4011,0.353828623548
41114,4106,0.353830028906
44742,4469,0.353839061556
45525,4547,0.353873778139
46154,4610,0.353988194856
46881,4683,0.354044130803
47861,4781,0.354045373768
49915,4986,0.354082253758
50041,4999,0.354091133244
57592,5754,0.354100007368
58724,5867,0.354102185255
59127,5907,0.354136175166
61965,6191,0.354136180243
62558,6250,0.354136268828
65682,6563,0.354136979506
67717,6766,0.354236582527
69913,6986,0.35424188105
72538,7248,0.354312726359
76488,7643,0.35443653032
77210,7716,0.354441053538
88017,8796,0.354441185005
91970,9192,0.35444267488
93515,9346,0.354450512518
95907,9585,0.354560052837
95998,9594,0.354661370408
97379,9732,0.354741719015
98974,9892,0.354741941058
100000,9995,0.354741941058
