evaluation,generation,hypervolume
0,0,0.241147798782
1,0,0.252220941792
2,0,0.259269116314
3,0,0.277601595773
4,0,0.27901357083
8,0,0.279038921452
12,0,0.294519280251
14,0,0.294564241864
16,0,0.294668417645
20,0,0.295523178966
25,0,0.295547778911
32,0,0.295708840205
43,0,0.300165803354
78,2,0.316716822074
162,11,0.319360366077
282,23,0.319512405725
356,30,0.32264130806
488,43,0.322949208867
671,62,0.32393761582
839,78,0.324397972623
2511,246,0.324399001597
2565,251,0.324410662728
2861,281,0.331099068233
3211,316,0.331652044008
3838,378,0.332864017906
4458,440,0.333954704377
4961,491,0.333975932783
5611,556,0.336175965291
5755,570,0.336201662626
5827,577,0.339799344187
6300,625,0.339838857266
6404,635,0.339929353791
7047,699,0.342070350039
7092,704,0.342084746649
7504,745,0.344713510906
7669,761,0.34478539461
9133,908,0.344801931876
9175,912,0.344862998809
9880,983,0.345027096996
11116,1106,0.345039633371
12410,1236,0.345078050741
14940,1489,0.345089861145
16509,1645,0.345261442049
17969,1791,0.345464848036
19381,1933,0.346018939674
22378,2232,0.346650163613
28476,2842,0.347536068925
28929,2887,0.347544484693
29289,2923,0.352329880882
31067,3101,0.352331478419
31867,3181,0.35233454889
32876,3282,0.352431935845
34186,3413,0.353492164545
34507,3445,0.355103016807
38616,3856,0.3551038991
38698,3864,0.355112174674
38805,3875,0.355136400726
39806,3975,0.35515289116
44014,4396,0.355212338788
45644,4559,0.355212771002
48688,4863,0.355213092229
50970,5092,0.356893086469
51282,5123,0.357214899875
58538,5848,0.357216595532
62083,6203,0.357607431962
70502,7045,0.357772117595
74637,7458,0.35970787784
75787,7573,0.36521297493
83626,8357,0.365298761794
86921,8687,0.365313598321
93910,9386,0.365327065957
100000,9995,0.365327065957
